src_ip,dst_ip,src_port,dst_port,protocol,packet_count,flow_duration,total_bytes,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,large_packet_ratio,mean_iat,std_iat,max_iat,burst_density,mean_burst_time,std_burst_time,idle_ratio,mean_idle_time,std_idle_time
203.74.124.198,54.121.196.172,59175,443,6,425,16.98398494720459,22100,52.0,0.0,52.0,52.0,0.0,0.04005656827170894,0.012529633186889759,0.08524394035339355,1359.5939777081296,1.4777138016440652,0.0,0.042930624847807394,0.0729133129119873,0.0055228452004324555
150.96.198.114,162.132.15.96,48510,873,6,2617,16.998045921325684,139720,53.38937714940772,3.839551657367863,52.0,64.0,0.0,0.006497723976041928,0.016332274690346323,0.07787203788757324,19821.87052402927,0.04929215924723165,0.0,0.5853182542100908,0.07006526161247575,0.002654295146052984
126.142.237.111,131.128.239.126,36355,443,6,148,3.2199409008026123,12158,82.14864864864865,124.74039879994147,40.0,1118.0,0.0,0.021904359869405525,0.11416401471994887,1.2000110149383545,9282.377423701219,0.4365975856781006,0.0,0.5932244129287492,0.9550740718841553,0.24493694305419922
3.125.118.172,203.74.124.234,443,50325,6,58,1.3062820434570312,277324,4781.448275862069,3636.5894934507437,52.0,11636.0,0.7758620689655172,0.022917228832579496,0.08992345696514854,0.6694700717926025,435487.36024513183,0.31840598583221436,0.0,0.5125000092023503,0.6694700717926025,0.0
202.170.86.229,150.96.198.114,38934,80,6,1210,0.6203160285949707,62920,52.0,0.0,52.0,52.0,0.0,0.0005130819095078335,0.006412400062396896,0.22252106666564941,158171.5402409725,0.19889748096466064,0.0,0.3587215188492627,0.22252106666564941,0.0
163.172.221.65,104.26.77.220,56972,443,17,15,0.24548602104187012,1098,73.2,1.4236104336041753,72.0,78.0,0.0,0.017534715788705007,0.022587055471461094,0.09679198265075684,7384.241006831212,0.07434701919555664,0.0,0.3942855399848127,0.09679198265075684,0.0
66.245.254.15,157.154.20.30,50001,24978,17,1027,16.990862131118774,226508,220.5530671859786,60.20794748574572,36.0,286.0,0.0,0.016560294474774633,0.037655834146171754,0.7663090229034424,15731.786803346977,2.3996848662694297,0.0,0.15259689360651543,0.5185505867004394,0.167863466637692
54.133.233.134,203.74.112.102,5300,53,17,729,16.989502906799316,37908,52.0,0.0,52.0,52.0,0.0,0.02333722926758148,0.0022303988308976985,0.04561495780944824,2231.2599713302375,16.989502906799316,0.0,0.0,0.0,0.0
128.228.200.56,163.172.59.246,64810,62671,17,964,16.958925008773804,100875,104.64211618257261,26.14913996354325,66.0,206.0,0.0,0.017610514027802497,0.017696963705531168,0.06406593322753906,7941.151050548926,0.17642802000045776,0.0,0.2509656311100668,0.05994517702451894,0.0030665645651587036
103.3.252.254,203.74.125.193,16616,443,6,268,16.962085962295532,13426,50.09701492537314,39.3124433232603,40.0,282.0,0.0,0.06352841184380349,0.07157046625277856,0.42174291610717773,991.6839466785469,1.0414297397320087,0.0,0.20183243685693886,0.2852916121482849,0.06889471395263862
